"Team","UZR","DRS","E","DP","rSB","rGDP","rARM","rGFP","rPM","rPM","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","Def","RPP","CPP","FE","TE","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","PO","A"
"Angels","332.2","221","2064","7497","9","36","18","84","24","24","37009","29887",".808","7153","","101","48.4","17.8","230.4","35.6","359.3","0.1","509","861","730","2463","1829","2451","581","3789","930","244","1308",".984","91123","33061"
"Giants","354.3","160","1975","7564","7","-10","-60","-39","143","143","36206","29593",".817","7172","","161","-49.5","-13.5","369.8","47.5","358.6","-13.7","443","907","636","2415","1847","2411","497","1779","868","193","1112",".985","91445","33999"
"Brewers","-75.2","72","2335","7614","-16","-23","-43","-9","32","32","35733","28556",".799","7439","","-82","-40.7","-28.8","139.2","-144.9","332.0","28.4","559","985","869","2470","1823","2465","457","1858","801","178","1216",".982","90992","33919"
"Rays","342.1","171","2171","7486","-8","3","73","0","50","50","36059","28863",".800","7768","","214","41.2","-22.6","407.3","-83.7","328.0","-18.1","393","868","789","2417","1802","2406","622","1710","819","227","1263",".983","90733","32437"
"Cubs","316.4","-38","2240","6759","0","-24","-20","-66","135","135","34949","28434",".814","6665","","-7","-2.5","6.0","358.4","-45.5","304.1","20.7","515","947","817","2308","1726","2298","547","4094","847","218","1161",".982","91276","33317"
"Mariners","197.5","9","1978","7879","10","50","-10","-13","-26","-26","37384","30225",".809","7499","","19","-21.3","54.0","144.7","20.1","199.4","-41.1","436","885","653","2582","1953","2571","503","1560","781","248","1202",".984","91079","33172"
"Braves","183.5","362","2112","7749","-6","5","26","-48","332","332","36667","29473",".804","7735","","-98","59.1","14.6","105.0","4.9","179.6","15.1","502","927","724","2609","1993","2606","579","3794","764","231","1026",".984","91370","35244"
"Twins","122.7","-257","2006","7680","-23","-8","15","53","-279","-279","38244","30930",".809","7090","","-135","8.5","-24.8","85.5","53.5","124.2","-8.5","373","810","752","2570","1988","2563","576","2975","695","183","1112",".984","91029","33674"
"Cardinals","-20.6","474","2186","8430","37","19","-49","51","265","265","37352","30162",".808","7336","","-28","-43.2","44.4","-15.2","-6.5","118.0","30.5","473","957","712","2785","2154","2774","576","2185","717","167","951",".983","91371","36093"
"Reds","46.7","76","2148","7267","11","-46","87","24","-19","-19","36949","29857",".808","6902","","225","54.8","-25.6","1.7","15.9","111.7","25.9","474","887","770","2411","1805","2405","495","1539","798","231","1137",".983","91303","34062"
"Royals","28.2","-261","2234","8141","19","6","13","-2","-263","-263","37866","30438",".804","7103","","49","72.6","-12.5","-28.1","-3.8","91.6","2.4","526","915","828","2609","1908","2584","632","1654","813","188","1361",".982","90554","34108"
"Phillies","110.2","-176","1973","7313","-22","5","110","8","-204","-204","36223","29203",".806","6890","","-45","55.4","-1.6","-14.0","70.4","90.5","30.3","406","864","683","2446","1806","2437","487","1769","725","219","1021",".985","91349","33947"
"Red Sox","153.8","66","2044","6962","-28","-20","26","37","75","75","36635","29507",".805","7264","","75","-16.5","-7.8","103.6","74.6","74.1","1.3","467","822","746","2376","1766","2363","473","2159","808","444","998",".984","91295","32944"
"Rangers","88.0","-124","2306","8433","-3","31","-5","-39","-37","-37","37868","30370",".802","7440","","154","30.3","7.2","78.9","-28.4","73.8","-16.2","403","980","813","2782","2142","2776","551","3215","797","207","1139",".982","90612","34003"
"Dodgers","13.9","237","2162","7212","19","-49","-24","7","180","180","34972","28469",".814","6659","","44","-16.4","-15.1","31.8","13.5","47.5","-6.4","450","856","760","2375","1780","2371","587","1813","898","216","1059",".983","91439","34653"
"Athletics","-74.4","-19","2262","7890","1","16","-31","-6","-25","-25","36966","30146",".816","7189","","-63","-89.7","-9.3","55.3","-30.7","-45.1","-0.7","391","883","820","2582","1964","2577","625","1763","831","228","1094",".982","91220","34605"
"Tigers","-78.6","-211","2224","8200","5","51","-63","-50","-164","-164","37266","30002",".805","7190","","-39","-59.8","17.7","-47.1","10.5","-55.5","-15.9","444","956","776","2665","2036","2652","460","1687","915","245","1168",".983","90623","34448"
"Astros","-44.3","208","2045","7498","-13","14","83","71","10","10","35253","28251",".801","7749","","-84","52.6","-3.4","-81.8","-11.7","-59.1","7.2","465","878","684","2460","1864","2451","553","3330","704","197","1112",".984","91135","34576"
"Orioles","-93.9","-136","2011","8201","6","32","50","70","-272","-272","37910","30485",".804","7268","","119","38.4","19.3","-211.2","59.7","-77.7","22.2","431","836","737","2705","2089","2697","592","1800","798","221","1075",".984","90727","34548"
"Diamondbacks","-90.3","337","2100","7409","-6","-3","-101","-6","362","362","36431","29291",".804","7371","","113","-71.4","-14.4","-22.9","18.4","-81.2","-17.9","449","936","753","2471","1938","2459","528","1544","844","234","1212",".984","91353","34560"
"Expos","-140.8","-110","2338","7210","17","-5","51","-49","-171","-171","35948","28990",".806","7026","","88","56.1","-5.9","-120.4","-70.6","-92.8","14.0","472","919","833","2469","1832","2464","528","1623","775","226","1048",".982","90930","33689"
"Blue Jays","-40.1","290","2069","8050","-27","2","103","16","182","182","36983","29965",".810","7181","","-72","46.1","-17.1","-108.9","39.9","-101.7","0.4","509","811","814","2604","2002","2597","570","1952","770","290","1091",".984","91068","34934"
"Marlins","-91.5","-386","2166","7794","-9","1","5","-66","-250","-250","36424","29188",".801","7101","","-33","0.8","33.5","-151.2","25.4","-104.9","-2.4","432","871","791","2549","1909","2541","486","1770","844","240","1075",".983","90889","33540"
"Indians","-158.4","-84","2103","7890","2","25","21","1","-104","-104","37419","30249",".808","6919","","-62","2.6","16.2","-158.0","-19.2","-168.7","-13.3","418","942","741","2661","2014","2644","497","3725","865","215","1037",".984","91121","34400"
"Mets","-104.6","-186","2137","7120","-47","-36","35","-19","-119","-119","36474","29328",".804","7151","","-273","34.9","-16.5","-72.3","-50.7","-175.9","-3.3","437","929","783","2353","1816","2341","565","3897","773","223","877",".983","91305","33480"
"White Sox","-137.3","-303","2235","8126","-14","51","-11","-42","-279","-279","37159","29722",".800","7208","","-246","-49.3","39.5","-95.4","-32.2","-197.1","-20.8","434","937","734","2665","2027","2650","561","3992","771","262","1235",".982","90946","34088"
"Padres","-137.4","61","2213","7308","-21","-37","-112","3","227","227","35966","29026",".807","7325","","-131","-88.4","-34.4","-56.9","42.2","-204.1","12.3","472","852","820","2441","1807","2429","543","4248","810","273","1074",".983","91202","34208"
"Rockies","-202.6","-142","2060","8664","7","22","-99","-21","18","18","37271","29854",".801","7327","","188","-19.7","18.3","-321.8","120.6","-218.6","-27.0","494","836","796","2805","2116","2804","588","1832","745","268","1250",".984","90445","36959"
"Pirates","-276.1","-148","2380","8506","-9","32","-2","-23","-169","-169","36972","29521",".799","7354","","-56","-10.8","12.9","-252.4","-25.8","-297.0","2.1","518","1005","798","2796","2120","2776","515","1926","806","238","1223",".982","90780","36993"
"Yankees","-395.7","-309","1998","6745","-18","-36","-7","-9","-240","-240","36462","29039",".796","7154","","8","-22.6","-41.6","-354.0","22.5","-434.6","-4.9","495","822","723","2292","1631","2273","563","3818","831","301","1182",".984","91148","32366"
