"Team","W","ERA","FIP"
"Astros","103","3.11","3.23"
"Dodgers","92","3.40","3.60"
"Cubs","95","3.65","4.14"
"Diamondbacks","82","3.73","3.91"
"Brewers","96","3.73","4.01"
"Rays","90","3.75","3.82"
"Braves","90","3.75","3.99"
"Red Sox","108","3.75","3.82"
"Indians","91","3.77","3.79"
"Yankees","100","3.78","3.63"
"Athletics","97","3.82","4.18"
"Cardinals","88","3.85","3.97"
"Giants","73","3.95","3.98"
"Pirates","82","4.00","4.06"
"Nationals","82","4.04","4.15"
"Mets","77","4.07","3.97"
"Mariners","89","4.13","4.05"
"Phillies","80","4.15","3.83"
"Angels","80","4.15","4.36"
"Rockies","91","4.33","4.06"
"Padres","66","4.41","4.10"
"Twins","78","4.50","4.39"
"Tigers","64","4.60","4.59"
"Reds","67","4.65","4.68"
"Marlins","63","4.76","4.57"
"White Sox","62","4.85","4.73"
"Blue Jays","73","4.85","4.53"
"Rangers","67","4.92","4.79"
"Royals","58","4.95","4.66"
"Orioles","47","5.19","4.98"
